Nome;Categoria;Kcal_per_100g
Ceci, cotti (senza aggiunta di grassi e sale);Prodotti a base di cereali, legumi e patate/Legumi;127
Fagioli di soia, secchi;Prodotti a base di cereali, legumi e patate/Legumi;399
Fagiolo comune (tutti tipi), seme maturo, cotto;Prodotti a base di cereali, legumi e patate/Legumi;111
Legumi (in media), cotti;Prodotti a base di cereali, legumi e patate/Legumi;127
Legumi (in media), secchi;Prodotti a base di cereali, legumi e patate/Legumi;336
Lenticchia, decorticata, secca;Prodotti a base di cereali, legumi e patate/Legumi;334
Lenticchie, intere, secche;Prodotti a base di cereali, legumi e patate/Legumi;324
Pasta all'uovo, secca;Prodotti a base di cereali, legumi e patate/Pasta;365
Pasta, secca;Prodotti a base di cereali, legumi e patate/Pasta;353
Patata dolce, cruda;Prodotti a base di cereali, legumi e patate/Patate;81
Patate, pelate, crude;Prodotti a base di cereali, legumi e patate/Patate;76
Riso tipo parboiled, secco;Prodotti a base di cereali, legumi e patate/Riso;356
Cotto;Prodotti carnei e insaccati/Insaccati cotti;93
Prosciutto cotto;Prodotti carnei e insaccati/Insaccati cotti;104
Bresaola;Prodotti carnei e insaccati/Insaccati crudi;167
Pancetta;Prodotti carnei e insaccati/Insaccati crudi;467
Prosciutto crudo;Prodotti carnei e insaccati/Insaccati crudi;229
Salsiccia cruda (in media);Prodotti carnei e insaccati/Insaccati crudi;456
Affettato (in media);Prodotti carnei e insaccati/Salsicce scottate;276
Mortadella;Prodotti carnei e insaccati/Salsicce scottate;314
Albume d'uovo, crudo;Uova;44
Tuorlo d'uovo, crudo;Uova;349
Uovo di gallina, intero, crudo;Uova;140
Asparago, al vapore;Verdure/Verdure cotte;26
Bietola;Verdure/Verdure cotte;29
Broccoli, al vapore;Verdure/Verdure cotte;28
Cavolfiore, al vapore;Verdure/Verdure cotte;26
Cavoli (in media), cotti;Verdure/Verdure cotte;28
Cavolini di Bruxelles, al vapore;Verdure/Verdure cotte;39
Cavolo bianco, al vapore;Verdure/Verdure cotte;28
Cavolo rapa, al vapore;Verdure/Verdure cotte;28
Cavolo rosso, stufato;Verdure/Verdure cotte;26
Cetriolini, sott'aceto;Verdure/Verdure cotte;14
Crauti, sott'aceto;Verdure/Verdure cotte;19
Fagiolini verdi, al vapore;Verdure/Verdure cotte;32
Pannocchiette di mais, sott'aceto;Verdure/Verdure cotte;119
Piselli, conserva;Verdure/Verdure cotte;87
Barbabietola, cruda;Verdure/Verdure fresche;46
Carota, cruda;Verdure/Verdure fresche;38
Cetriolo, crudo;Verdure/Verdure fresche;14
Cipolla, cruda;Verdure/Verdure fresche;39
Finocchio, crudo;Verdure/Verdure fresche;23
Lattuga cappuccio, cruda;Verdure/Verdure fresche;14
Lattuga ghiaccio, cruda;Verdure/Verdure fresche;16
Lattuga romana, cruda;Verdure/Verdure fresche;16
Melanzana, cruda;Verdure/Verdure fresche;23
Peperone rosso, crudo;Verdure/Verdure fresche;32
Peperone verde, crudo;Verdure/Verdure fresche;20
Pomodoro, crudo;Verdure/Verdure fresche;21
Porro, crudo;Verdure/Verdure fresche;30
Rafano, crudo;Verdure/Verdure fresche;18
Rucola, cruda;Verdure/Verdure fresche;28
Sedano, crudo;Verdure/Verdure fresche;15
Spinaci, crudi;Verdure/Verdure fresche;23
Taccole, crude;Verdure/Verdure fresche;68
Verza, cruda;Verdure/Verdure fresche;31
Zucca, cruda;Verdure/Verdure fresche;23
Zucchina, cruda;Verdure/Verdure fresche;19
Pasta integrale, secca;Prodotti a base di cereali, legumi e patate/Pasta;335
Pasta di semola, secca;Prodotti a base di cereali, legumi e patate/Pasta;356
Spaghetti, cotti;Prodotti a base di cereali, legumi e patate/Pasta;131
Penne, secche;Prodotti a base di cereali, legumi e patate/Pasta;353
Fusilli, secchi;Prodotti a base di cereali, legumi e patate/Pasta;353
Gnocchi di patate, freschi;Prodotti a base di cereali, legumi e patate/Pasta;135
Lasagne, secche;Prodotti a base di cereali, legumi e patate/Pasta;365
Riso integrale, secco;Prodotti a base di cereali, legumi e patate/Riso;362
Riso basmati, secco;Prodotti a base di cereali, legumi e patate/Riso;356
Riso venere, secco;Prodotti a base di cereali, legumi e patate/Riso;360
Riso, cotto;Prodotti a base di cereali, legumi e patate/Riso;120
Farro, secco;Prodotti a base di cereali, legumi e patate/Cereali;335
Orzo perlato, secco;Prodotti a base di cereali, legumi e patate/Cereali;354
Couscous, secco;Prodotti a base di cereali, legumi e patate/Cereali;376
Quinoa, secca;Prodotti a base di cereali, legumi e patate/Cereali;368
